광고그룹명	지역키워드	위치사진명	url분류명	url
			중등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%A4%91%EB%93%B1/%EC%B9%98%ED%8F%89%EB%8F%99
			초등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%B4%88%EB%93%B1/%EC%B9%98%ED%8F%89%EB%8F%99
			수학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%88%98%ED%95%99/%EC%B9%98%ED%8F%89%EB%8F%99
			영어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%98%81%EC%96%B4/%EC%B9%98%ED%8F%89%EB%8F%99
			국어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B5%AD%EC%96%B4/%EC%B9%98%ED%8F%89%EB%8F%99
			과학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%BC%ED%95%99/%EC%B9%98%ED%8F%89%EB%8F%99
			일반	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%9D%BC%EB%B0%98/%EC%B9%98%ED%8F%89%EB%8F%99
치평점	상무지구	광주 치평동	고등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%A0%EB%93%B1/%EC%83%81%EB%AC%B4%EC%A7%80%EA%B5%AC
			중등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%A4%91%EB%93%B1/%EC%83%81%EB%AC%B4%EC%A7%80%EA%B5%AC
			초등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%B4%88%EB%93%B1/%EC%83%81%EB%AC%B4%EC%A7%80%EA%B5%AC
			수학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%88%98%ED%95%99/%EC%83%81%EB%AC%B4%EC%A7%80%EA%B5%AC
			영어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%98%81%EC%96%B4/%EC%83%81%EB%AC%B4%EC%A7%80%EA%B5%AC
			국어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B5%AD%EC%96%B4/%EC%83%81%EB%AC%B4%EC%A7%80%EA%B5%AC
			과학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%BC%ED%95%99/%EC%83%81%EB%AC%B4%EC%A7%80%EA%B5%AC
			일반	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%9D%BC%EB%B0%98/%EC%83%81%EB%AC%B4%EC%A7%80%EA%B5%AC
지족점	지족동	대전 지족	고등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%A0%EB%93%B1/%EC%A7%80%EC%A1%B1%EB%8F%99
			중등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%A4%91%EB%93%B1/%EC%A7%80%EC%A1%B1%EB%8F%99
			초등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%B4%88%EB%93%B1/%EC%A7%80%EC%A1%B1%EB%8F%99
			수학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%88%98%ED%95%99/%EC%A7%80%EC%A1%B1%EB%8F%99
			영어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%98%81%EC%96%B4/%EC%A7%80%EC%A1%B1%EB%8F%99
